question_id,question,strategy,reranked,retrieved_pages,expected_pages,page_hit,notes
1,What were JPMorgan Chase's major business segments in 2024?,fixed,False,"74,86,91,93,112",,,
1,What were JPMorgan Chase's major business segments in 2024?,fixed,True,"86,93,106,112",,,
1,What were JPMorgan Chase's major business segments in 2024?,semantic,False,"86,90,117,261,347",,,
1,What were JPMorgan Chase's major business segments in 2024?,semantic,True,"86,90,117,261,285",,,
2,What does the annual report say about cybersecurity risk?,fixed,False,"189,190",,,
2,What does the annual report say about cybersecurity risk?,fixed,True,"125,189,190",,,
2,What does the annual report say about cybersecurity risk?,semantic,False,"126,186,189,190",,,
2,What does the annual report say about cybersecurity risk?,semantic,True,"125,126,189,190",,,
3,How does the firm describe credit risk management?,fixed,False,"151,152",,,
3,How does the firm describe credit risk management?,fixed,True,"151,152,169",,,
3,How does the firm describe credit risk management?,semantic,False,"151,152,186",,,
3,How does the firm describe credit risk management?,semantic,True,"125,151,152",,,
4,What factors affected net interest income in 2024?,fixed,False,"65,102,108,356",,,
4,What factors affected net interest income in 2024?,fixed,True,"102,105,108,111,123",,,
4,What factors affected net interest income in 2024?,semantic,False,"88,91,102,360",,,
4,What factors affected net interest income in 2024?,semantic,True,"88,91,123,360",,,
5,How does JPMorgan Chase manage liquidity risk?,fixed,False,"125,130,142,144,251",,,
5,How does JPMorgan Chase manage liquidity risk?,fixed,True,"83,130,143,144,251",,,
5,How does JPMorgan Chase manage liquidity risk?,semantic,False,"125,130,143,144,168",,,
5,How does JPMorgan Chase manage liquidity risk?,semantic,True,"2,125,130,143,144",,,
6,What does the report say about artificial intelligence?,fixed,False,"62,69,73",,,
6,What does the report say about artificial intelligence?,fixed,True,"62,73,76",,,
6,What does the report say about artificial intelligence?,semantic,False,"62,69,73,77",,,
6,What does the report say about artificial intelligence?,semantic,True,"3,52,62,76,202",,,
7,What were major drivers of noninterest expense?,fixed,False,"96,113,259,349,360",,,
7,What were major drivers of noninterest expense?,fixed,True,"96,111,113,259,349",,,
7,What were major drivers of noninterest expense?,semantic,False,"96,102,259,263,360",,,
7,What were major drivers of noninterest expense?,semantic,True,"96,102,108,259,360",,,
8,What regulatory risks are discussed in the report?,fixed,False,"127,128,129,133,191",,,
8,What regulatory risks are discussed in the report?,fixed,True,"128,133,188,191",,,
8,What regulatory risks are discussed in the report?,semantic,False,"125,126,127,133,188",,,
8,What regulatory risks are discussed in the report?,semantic,True,"125,126,133,188,191",,,
9,How does the report discuss capital management?,fixed,False,"131,132",,,
9,How does the report discuss capital management?,fixed,True,"131,132",,,
9,How does the report discuss capital management?,semantic,False,"105,126,131,348",,,
9,How does the report discuss capital management?,semantic,True,"131,132,187,348",,,
10,Compare the performance of the firm's major business segments.,fixed,False,"104,348,349",,,
10,Compare the performance of the firm's major business segments.,fixed,True,"101,104,348",,,
10,Compare the performance of the firm's major business segments.,semantic,False,"104,106,348,349",,,
10,Compare the performance of the firm's major business segments.,semantic,True,"101,104,105,348,349",,,
11,What factors could adversely affect the firm's operations?,fixed,False,"188,189,201",,,
11,What factors could adversely affect the firm's operations?,fixed,True,"149,187,188,189",,,
11,What factors could adversely affect the firm's operations?,semantic,False,"91,125,149,188,189",,,
11,What factors could adversely affect the firm's operations?,semantic,True,"91,149,184,188,189",,,
12,What climate-related risks or considerations are discussed?,fixed,False,"125,186,188",,,
12,What climate-related risks or considerations are discussed?,fixed,True,"125,150,186",,,
12,What climate-related risks or considerations are discussed?,semantic,False,"125,129,186,188",,,
12,What climate-related risks or considerations are discussed?,semantic,True,"125,129,150,186",,,
13,What significant acquisitions or investments are discussed?,fixed,False,"42,73,75,231",,,
13,What significant acquisitions or investments are discussed?,fixed,True,"73,75,174,211,354",,,
13,What significant acquisitions or investments are discussed?,semantic,False,"42,47,69,73,314",,,
13,What significant acquisitions or investments are discussed?,semantic,True,"47,69,73,353",,,
14,What does the report say about market risk?,fixed,False,"175,176,183",,,
14,What does the report say about market risk?,fixed,True,"175,180",,,
14,What does the report say about market risk?,semantic,False,"126,175,180,183",,,
14,What does the report say about market risk?,semantic,True,"125,175,180,183",,,
15,"What will JPMorgan Chase's stock price be on December 31, 2030?",fixed,False,"85,86,91,138,325",,,
15,"What will JPMorgan Chase's stock price be on December 31, 2030?",fixed,True,"85,138,323,325,327",,,
15,"What will JPMorgan Chase's stock price be on December 31, 2030?",semantic,False,"86,88,117,233,327",,,
15,"What will JPMorgan Chase's stock price be on December 31, 2030?",semantic,True,"86,88,117,233,327",,,
